orth phon sense pos gender asp dic_name usg etym_lang
волапюк ВОЛАП'ЮК " Набор непонятных слов; тарабарщина. " сущ. м. None "Толковый словарь Кузнецова" None англ.
волейбол ВОЛЕЙБ'ОЛ " (очень высокий). " сущ. м. None "Толковый словарь Кузнецова" None англ.
газгольдер ГАЗГ'ОЛЬДЕР " Сооружение для приема, хранения и подачи газа в газопроводную сеть. " сущ. м. None "Толковый словарь Кузнецова" None англ.
галлон ГАЛЛ'ОН " единица вместимости и объёма жидких и сыпучих тел " сущ. м. None "Толковый словарь Кузнецова" None англ.
гангстер Г'АНГСТЕР " (о беспринципных и продажных писаках). " сущ. м. None "Толковый словарь Кузнецова" None англ.
гандбол ГАНДБ'ОЛ " Вид спорта - спортивная командная игра, в которой игроки руками стараются забросить мяч в ворота противника; ручной мяч. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гандикап ГАНДИК'АП " Преимущество, предоставляемое более слабому участнику соревнования или игры для уравнивания шансов на успех; фора. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гейм Г'ЕЙМ " Часть партии в некоторых играх (преимущественно в теннисе), устанавливаемая по определённому количеству очков. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гиббон ГИББ'ОН " Человекообразная обезьяна, отличающаяся очень длинными передними конечностями " сущ. м. None "Толковый словарь Кузнецова" None англ.
гиг ГИГ " Узкая быстроходная гребная шлюпка с низким бортом; гичка. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гинея ГИН'ЕЯ " Старинная английская золотая монета достоинством в 21 шиллинг. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
гол ГОЛ " Очко, выигранное командой при попадании мяча (шайбы) в ворота противника; само такое попадание. " сущ. м. None "Толковый словарь Кузнецова" None англ.
голкипер ГОЛК'ИПЕР " = Вратарь. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гольф ГОЛЬФ " Игра в мяч, который по дорожкам загоняют клюшкой в лунки. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гольф ГОЛЬФ " = Гольфы. " None None None "Толковый словарь Кузнецова" None англ.
гондон ГОНД'ОН " = Презерватив. " сущ. м. None "Толковый словарь Кузнецова" None англ.
грант ГРАНТ " Денежное пособие, стипендия из специального фонда для проведения научных, исследовательских и иных работ в зависимости от их актуальности. " сущ. м. None "Толковый словарь Кузнецова" None англ.
грейдер ГРЕ'ЙДЕР " Машина, употребляемая в дорожном строительстве для выравнивания, перемещения грунта, сыпучих материалов и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
грейпфрут ГРЕЙПФР'УТ " Цитрусовое дерево с крупными сочными плодами желтого цвета, имеющими горьковато-кислый вкус; плод такого дерева. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гриль- ГР'ИЛЬ- " способ приготовления птицы на установке с вертелом, на рашпере. " None None None "Толковый словарь Кузнецова" None англ.
грог ГРОГ " Горячий напиток из коньяка, водки или рома, смешанных с водой и сахаром. " сущ. м. None "Толковый словарь Кузнецова" None англ.
грум ГРУМ " слуга, верхом сопровождающий всадника или экипаж; мальчик-лакей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
гунтер Г'УНТЕР " лошади такой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дайджест Д'АЙДЖЕСТ " О теле- или радиопередаче, повторяющей наиболее интересные записи с общей тематикой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дансинг Д'АНСИНГ " Помещение, зал для танцев " сущ. м. None "Толковый словарь Кузнецова" None англ.
дек ДЕК " Навесная палуба морского или речного судна. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дек ДЕК " Структура памяти ЭВМ, представленная в виде списка и позволяющая дополнять его в начале и конце. " сущ. м. None "Толковый словарь Кузнецова" None англ.
демпинг Д'ЕМПИНГ " ценам с целью вытеснения конкурентов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
денди Д'ЕНДИ " Изысканно и модно одетый светский человек; щёголь, франт. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дерби Д'ЕРБИ " Ипподромные состязания трёхлетних и четырёхлетних скаковых лошадей. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
деррик Д'ЕРРИК " Грузоподъёмный кран с поворотной стрелой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дескриптивный ДЕСКРИПТ'ИВНЫЙ " Описывающий синхронное состояние языка. " прил. None None "Толковый словарь Кузнецова" None англ.
детектив ДЕТЕКТ'ИВ " Сыщик, специалист по расследованию преступлений " сущ. м. None "Толковый словарь Кузнецова" None англ.
джаз ДЖАЗ " Вид музыкального искусства, возникший в конце 19 - начале 20 века на основе сочетания черт европейской и африканской культур " сущ. м. None "Толковый словарь Кузнецова" None англ.
джаз ДЖАЗ " Музыкальные произведения " сущ. м. None "Толковый словарь Кузнецова" None англ.
джаз-банд ДЖАЗ-Б'АНД " = Джаз " сущ. м. None "Толковый словарь Кузнецова" None англ.
джем ДЖЕМ " Густое варенье из фруктов или ягод, представляющее собой однородную массу. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джемпер ДЖ'ЕМПЕР " и без застёжек. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джентльмен ДЖЕНТЛЬМ'ЕН " Договор, заключаемый без соблюдения официальных формальностей, в устной форме. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джерси ДЖ'ЕРСИ " Одежда из такой ткани. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
джига ДЖ'ИГА " Национальный ирландский парный быстрый танец. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
джин ДЖИН " Английская водка, перегнанная с можжевеловыми ягодами. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джинсы ДЖ'ИНСЫ " Узкие, плотно облегающие брюки из джинсовой ткани. " сущ. None None "Толковый словарь Кузнецова" None англ.
джип ДЖИП " Американский небольшой автомобиль общего назначения. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джоггинг ДЖ'ОГГИНГ " Бег трусцой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джойстик ДЖ'ОЙСТИК " Манипулятор в виде укреплённой на шарнире ручки с кнопкой, употребляющийся для компьютерных игр. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джокер ДЖ'ОКЕР " особая дополнительная карта в колоде, которая может заменить любую другую карту. " сущ. м. None "Толковый словарь Кузнецова" None англ.
джунгли ДЖ'УНГЛИ " Тропические непроходимые леса; древесно-кустарниковые заросли тропиков и субтропиков, густо перевитые лианами. " сущ. None None "Толковый словарь Кузнецова" None англ.
джунгли ДЖ'УНГЛИ " О густых зарослях чего-л. " сущ. None None "Толковый словарь Кузнецова" None англ.
джут ДЖУТ " Травянистое южное растение сем, липовых, волокна которого используются для изготовления грубых тканей, верёвок. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дизайн ДИЗ'АЙН " Проектирование художественных форм, внешнего вида изделий, производимых промышленностью, фасадов зданий, интерьеров помещений и т.п.; художественное конструирование. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дизайн- ДИЗ'АЙН- " относящийся к дизайну, связанный с дизайном. " None None None "Толковый словарь Кузнецова" None англ.
динго Д'ИНГО " Дикая австралийская собака. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дискаунт ДИСК'АУНТ " Предприятие розничной торговли, снижающее цены на товары путём ограничения их ассортимента, отказа от дорогостоящих способов хранения и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
